,ktr,gam,slope_ven_blast,slope_aza_blast,slope_ven_wbc,slope_aza_wbc,B,Xl1,B0,p1
6450,0.20567752064658607,0.666665521362421,0.3472211854355544,0.12732383857536975,0.39758705363532415,0.1828701407714962,1.3467458324270258,6.666664690365078,0.29357457136612813,0.06324687055358448
6067,0.6666666677777767,0.5412434049108924,1.2614348788448555,0.9516073146647773,0.1630740482003974,0.002503374457298791,1.4383600656909745,6.6666666777777905,0.03237312944133587,0.028462922521208592
8242,0.6666666677777696,0.666666667777779,5.354671707146885e-05,0.002125215496561268,0.1011627368616349,0.13164413695015997,0.8709710152025061,0.10881787267466721,0.34600303588916687,0.005451211599110539
2101,0.31536663796982556,0.01403587306454382,0.742820381730787,0.7906505415675437,1.4587967044249397e-06,0.006781157476731308,3.975818317304995,0.7759746686457341,1.0167106719751375,2.2378920780011006e-05
3895,0.6666666256206845,0.2335966681325927,1.4688100166373175,1.4667279163732143,0.04626333660029491,0.5614792722040576,1.6249001370629994,6.6666666777777825,4.6664466936484645,0.023409386799729908
2104,0.25908490482260127,0.6666666677777783,0.6344607221270697,1.5000000012499992,0.00034458918304649524,1.5000000012500005,0.2856126772141266,0.6944291459582286,0.31281940105454153,0.04556239204279935
2105,0.28660428363286344,0.08594374521759332,0.3784752230720198,1.49954665823451,0.05142403282449217,0.007716320603731497,1.499590892239182,0.32142882572730247,1.1735269432266549,0.0001831547453194414
1978,0.18189685210107184,0.0013482241552022155,0.08654967274311613,1.499888409387812,0.00015624988733323178,0.07584162860315681,5.0669840497142715e-05,0.002766719941577449,3.582987022150858,0.0759121445293249
6074,0.4396195003684294,0.4701710944159131,0.1731818457202562,1.2230603443977197,0.18207896300388726,1.233475567528757,0.5790185062803088,3.825739212309175,0.09284113893344144,0.6169476089647455
9145,0.6666666100365428,0.666666590836282,1.4960373229198825,0.8343162772356054,0.0005547025312160236,1.5000000012499992,3.146122791339608,1.2459082421855547,0.7318732870926097,0.28894553483316887
2111,0.6666613930180333,0.10379003263187925,0.2706734382625235,0.30841082114661816,1.1330268323573314e-05,1.0062472076753057,1.16022741816374,1.7641210186477987,1.0000595934169488e-07,0.14951239684276066
5568,0.6666666677777767,0.1364952383740542,1.0854261535306309,0.09270133723417641,0.029267453675306147,1.5000000012500019,1.2541243186241882,6.666666677777743,1.922709494992043,0.023084489328632652
3266,0.5838519776697783,0.5630282395565421,0.5047443240334722,0.7050925678190196,0.014205570534442583,0.04097820349998038,0.709738221285059,0.31616327283624707,2.825507301955532,0.6436518089105309
3652,0.6660922448248308,0.041956242877205584,0.4166085259832261,0.012550365919319607,0.002313448620087492,0.10316425853234724,1.7421594429911194,6.1810463046270945,0.8681402322167704,0.16445459446735422
2886,0.613112662134861,0.07187555307737468,0.5819549002229811,1.4174544736020862,1.3446941782756048,1.4219985604381316,5.676438339932376,6.553968856803422,3.07350603190784,0.050956788913623076
4935,0.25121700917121004,0.24654750826026095,0.36603532201657274,1.4882842224754798,0.001144348202474153,1.4999689168353068,1.2676198877773903,5.108242062117609,0.16273016766334064,0.39812513145252787
6086,0.666666667777776,0.6666666677777767,1.3314406936586118,0.41634800354434187,0.043227743203676436,0.018615398101698103,1.0430471061618898,6.6666666777777595,0.5120153189516701,0.7848576685517563
1100,0.041101809201115315,0.6666666677777751,0.8396272550603316,0.03399766560363824,0.19611755629010613,0.12582382336830977,6.218570674797653,0.1274918310107933,5.715159867026629,0.0542735503318509
8013,0.6666666677777783,0.2728444365319891,1.4550621279436642,0.01998173958466857,5.765333825442194e-05,1.32618165933509,0.9507667951182714,6.6666666777777674,0.04166864621976893,0.916666666736111
4046,0.07605153932616165,0.3770097881103376,0.28214758637117215,0.7317869920187602,0.12295031605313526,0.9672130666415386,0.0005357615845759138,0.014261276563814419,0.18651153255366515,0.007333419599984951
6735,0.6666666428405716,0.6666666491875184,1.4943856541773948,1.4999962119051327,0.11980025050966069,1.2578907992271184,1.154699301167671,6.6666664288195845,0.9979239616484676,0.6671441740167773
9553,0.6666666677777704,0.16058376853085504,0.3738104643197566,0.027475192702967194,0.17913891913924812,0.4087257079670812,1.763345305738948,6.666666677777743,0.2848375401958502,0.1712716946308658
4181,0.6664484664605254,0.19096718250807598,0.0006746041221763918,0.00033258815590215884,0.03626586878511054,0.15688304961897914,0.5945402881332322,0.30127291111394916,0.004098619489206332,0.0008719315459335277
8917,0.17432024541773875,0.39604321510913104,1.0220416767096847,0.5590420093167955,0.31593996183478346,0.8024120013993118,0.951076822859217,4.7246728953231,0.0621171797793795,0.01266350932867828
8793,0.22792748305174626,0.6665285267156917,0.46634835878975617,0.05255261825132203,1.0561525758603785,0.030455177818262028,0.6553887753040712,1.4522090376537975,0.05750074075209577,0.034654513553120166
7643,0.666666667777779,0.4304057517188478,0.5845824073316807,1.2602030364805255,0.155931960872313,1.4999604451604562,1.4192969663600772,6.6666666777777595,0.07512326713640682,0.07101325490117188
