,blasts_train,leuk_train,neut_corr,blast_corr,neut_mape,neut_corr_2,blast_corr_2,neut_fvu_r2,blast_fvu_r2,frac_unexplained_variance_neut,frac_unexplained_variance_blast,model
7643,2.371529997431889,0.4498739923157518,0.5508242887043064,0.9999999997125014,0.2918731405441249,0.5508242887043064,0.9999999997125014,0.6965926029733949,5.749971609958493e-10,0.6803947105780015,0.012343823382648658,m1
7773,17.824851631191144,1.6760546129190883,0.44542850076607476,0.1792561868678543,inf,0.44542850076607476,0.1792561868678543,0.8015934507052869,0.9678672194695969,0.759705389746225,1.3770074139846138,m1
9823,inf,inf,inf,inf,inf,inf,inf,-inf,-inf,inf,inf,m1
7908,14.640544169103832,0.2509599273354359,0.3304334550793288,0.7790763948100035,inf,0.3304334550793288,0.7790763948100035,0.8908137317643372,0.39303997104984767,0.8306836844483054,0.49437699645914357,m1
4838,1.936400720834399,0.6153216567965181,0.6339008469276226,0.9991689203990366,inf,0.6339008469276226,0.9991689203990366,0.5981697162644428,0.001661468508623698,0.5583968840440825,0.005670544804004507,m1
5478,1.7342359495302726,2.8001487017372018,-0.11524338660416873,0.9646276603858982,inf,0.0,0.9646276603858982,1.0,0.06949347681842821,1.3761811180505619,0.26659938647252446,m1
6374,22.113904557490947,0.3836975666047455,0.3409770481469725,0.80789599461805,inf,0.3409770481469725,0.80789599461805,0.8837346526369771,0.34730406188011176,0.8255850085147285,0.6275966125515529,m1
7402,4.5637940942881245,0.3680277222696225,0.7743122210746662,0.9437495101165632,0.4376175637648449,0.7743122210746662,0.9437495101165632,0.4004405842944172,0.10933686215474703,0.38570129946593573,0.2524632307279899,m1
3947,5.026121080609136,1.3297672643643292,0.6723334399699877,0.9538391775788022,0.6371718851101305,0.6723334399699877,0.9538391775788022,0.5479677454981229,0.0901908233157942,0.5180168961709188,0.11319320316766461,m1
2927,4.875815813981071,2.300717425043964,-0.655340887039439,0.8306278979316063,0.33001848955917357,0.0,0.8306278979316063,1.0,0.31005729517772107,2.3343920682118044,1.5849053234578598,m1
